Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,BbAvH,BbAvD,BbAvA
E0,14/12/2002,Charlton,Man City,2,2,D,0,0,D,D Pugh,12,14,5,9,12,12,5,3,2,1,0,0,2.1,3.25,3,2.2,3.25,3.15,2.1,3,3.1,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2.1,3.3,2.87,1.8,1.8,1.9,1.8,2.1,3.242857143,3.017142857
E0,14/12/2002,Everton,Blackburn,2,1,H,2,1,H,G Barber,12,17,7,9,14,16,5,10,1,2,0,1,1.833,3.25,3.75,1.95,3.25,3.5,2.1,3,3.1,1.83,3.2,3.75,2,3.25,3.25,2,3.25,3.25,1.9,3.2,3.5,1.9,1.7,1.83,1.83,1.944714286,3.2,3.442857143
E0,14/12/2002,Man United,West Ham,3,0,H,2,0,H,R Styles,14,10,10,3,12,11,7,4,0,1,0,0,1.286,4.5,9,1.32,5,12,1.3,4.2,8,1.22,5,10,1.25,5,8.5,1.286,4.5,9,1.25,5,8,1.6,2.07,1.66,2.1,1.273142857,4.742857143,9.214285714
E0,14/12/2002,Middlesbrough,Chelsea,1,1,D,1,1,D,M Messias,9,16,6,11,9,14,5,8,0,1,0,0,2.625,3.2,2.375,2.55,3.35,2.52,2.5,3,2.5,2.75,3.2,2.25,2.63,3.2,2.38,2.7,3.1,2.375,2.5,3.1,2.5,1.85,1.75,1.9,1.8,2.607857143,3.164285714,2.414285714
E0,14/12/2002,Southampton,Newcastle,1,1,D,0,0,D,P Dowd,16,17,9,11,12,11,8,8,0,0,0,0,2.3,3.2,2.7,2.35,3.25,2.7,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.625,2.3,3.1,2.75,1.8,1.8,1.8,1.9,2.267857143,3.178571429,2.767857143
E0,15/12/2002,Fulham,Birmingham,0,1,A,0,1,A,A D'Urso,7,2,0,1,11,22,7,1,3,7,0,1,1.8,3.25,4,1.82,3.3,3.95,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.25,4,1.8,3.25,4,1.72,3.4,4,1.85,1.75,2,1.72,1.772857143,3.278571429,4.011428571
E0,15/12/2002,Sunderland,Liverpool,2,1,H,1,0,H,M Halsey,7,11,3,4,12,7,9,10,0,2,0,0,4.333,3.25,1.727,4.5,3.4,1.71,4,3.2,1.75,4.5,3.25,1.67,4.33,3.25,1.73,4.333,3.25,1.727,4.2,3.25,1.72,1.8,1.8,2,1.72,4.313714286,3.264285714,1.719142857
E0,15/12/2002,Tottenham,Arsenal,1,1,D,1,1,D,N Barry,14,6,10,4,14,11,5,6,3,2,0,0,3,3.1,2.2,3.2,3.1,2.15,2.9,3,2.2,3.4,3.25,1.91,2.88,3.2,2.2,3.1,3.1,2.1,3,3,2.2,1.8,1.8,1.72,2,3.068571429,3.107142857,2.137142857
E0,16/12/2002,Bolton,Leeds,0,3,A,0,2,A,G Poll,17,9,9,7,9,14,5,3,1,3,0,0,2.4,3.2,2.6,2.5,3.3,2.5,2.4,2.9,2.7,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.8,1.8,1.9,1.8,2.435714286,3.171428571,2.578571429
E0,21/12/2002,Arsenal,Middlesbrough,2,0,H,1,0,H,S Dunn,26,3,14,1,8,14,13,3,1,3,0,1,1.4,3.75,7.5,1.4,4.25,7.25,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.7,1.9,1.72,2,1.387142857,3.857142857,7.392857143
