Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,BbAvH,BbAvD,BbAvA
E0,20/09/03,Fulham,Man City,2,2,D,0,0,D,P Dowd,13,7,9,6,14,19,2,4,2,5,0,0,2.3,3.25,2.8,2.4,3.25,2.7,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.5,3.1,2.5,1.85,1.85,1.9,1.9,1.8,2,0,1.85,2,0,1.85,2.05,0,2.357142857,3.171428571,2.67
E0,20/09/03,Leeds,Birmingham,0,2,A,0,0,D,D Gallagher,12,7,6,3,15,14,6,1,4,2,1,0,2.1,3.25,3.2,2.15,3.25,3.15,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.2,3.25,2.75,1.85,1.85,2.05,1.75,1.9,1.9,-0.25,1.85,2,-0.25,1.85,2.05,-0.25,2.121428571,3.207142857,3.028571429
E0,20/09/03,Liverpool,Leicester,2,1,H,1,0,H,M Halsey,19,9,8,3,10,9,4,4,0,0,0,0,1.3,4.5,9.5,1.32,4.3,10,1.35,4,7,1.333,3.75,9,1.33,4,8.5,1.33,4.2,8,1.33,4,8,1.65,2.05,1.8,2,1.75,2.08,-1.25,1.8,2.05,-1.25,1.825,2.075,-1.25,1.327571429,4.107142857,8.571428571
E0,20/09/03,Newcastle,Bolton,0,0,D,0,0,D,Graham Barber,14,8,7,6,15,12,7,5,1,1,0,0,1.5,3.6,6.5,1.53,3.5,6.5,1.55,3.5,4.8,1.5,3.4,6,1.53,3.5,5.5,1.53,3.4,6,1.5,3.4,6,1.71,2,1.8,2,1.92,1.9,-1,1.85,2,-1,1.9,2,-1,1.52,3.471428571,5.9
E0,20/09/03,Portsmouth,Blackburn,1,2,A,0,2,A,P Durkin,9,12,6,10,17,18,7,6,2,3,0,0,2.25,3.25,2.87,2.3,3.25,2.87,2.3,3,2.7,2.1,3.2,3,2.25,3.25,2.75,2.25,3.2,2.8,2.3,3.2,2.62,1.71,2,1.95,1.85,2,1.8,-0.25,2,1.85,-0.25,2.05,1.85,-0.25,2.25,3.192857143,2.801428571
E0,20/09/03,Tottenham,Southampton,1,3,A,0,2,A,A D'Urso,13,12,6,10,15,14,4,7,1,1,0,0,2,3.25,3.4,2.1,3.25,3.25,1.9,3.1,3.5,2.2,3.2,2.8,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.85,1.85,2,1.8,1.85,1.95,-0.25,1.85,2,-0.25,1.825,2.075,-0.25,2.028571429,3.214285714,3.235714286
E0,20/09/03,Wolves,Chelsea,0,5,A,0,2,A,M Messias,8,14,4,8,15,15,1,3,2,3,0,0,6.5,3.6,1.5,5.95,3.65,1.5,5,3.7,1.5,6,3.4,1.5,7.5,4,1.44,6,3.6,1.5,6.5,3.6,1.44,1.65,2.05,1.7,2.1,1.95,1.85,1.25,2,1.85,1.25,1.95,1.95,1.25,6.207142857,3.65,1.482857143
E0,21/09/03,Man United,Arsenal,0,0,D,0,0,D,S Bennett,9,6,7,1,11,15,4,3,4,3,0,1,2,3.25,3.4,2.15,3.25,3.2,2.1,3,3.1,2.1,3.2,3,2,3.4,3.5,2.2,3.1,3,2.2,2.87,3.1,1.75,1.95,1.8,2,1.9,1.92,-0.25,1.85,2,-0.25,1.875,2.025,-0.25,2.107142857,3.152857143,3.185714286
E0,21/09/03,Middlesbrough,Everton,1,0,H,1,0,H,A Wiley,9,9,4,5,12,14,4,6,2,3,0,0,2.3,3.25,2.8,2.33,3.25,2.82,2.3,3,2.7,2.2,3.2,2.8,2.4,3.25,2.8,2.3,3.2,2.7,2.3,3.2,2.62,1.85,1.85,1.95,1.85,2.08,1.78,-0.25,2.05,1.8,-0.25,2.025,1.875,-0.25,2.304285714,3.192857143,2.748571429
E0,26/09/03,Arsenal,Newcastle,3,2,H,1,1,D,M Riley,11,5,7,4,13,17,3,4,0,1,0,0,1.53,3.5,5.5,1.55,3.7,5.7,1.5,3.7,5,1.444,3.75,6,1.5,3.75,7,1.5,3.5,6,1.5,3.4,6,1.79,1.9,1.75,2.05,1.9,1.9,-1,2.05,1.8,-1,2.05,1.85,-1,1.503428571,3.614285714,5.885714286
